A	N	T1/2	Nu	spin(halfs)
69	 158	258	0.042	-4
69	 159	540	3.423	5
69	 160	564	0.162	-2
69	 161	2280	2.402	7
69	 162	1260	0.0688	-2
69	 163	6480	-0.0821	1
69	 164	120	2.833	2
69	 165	108216	-0.1392	1
69	 166	27720	0.0921	4
69	 167	799200	-0.1972	1
69	 168	7344000	0.22711	6
69	 169	0	0	1
69	 170	11111040	0.2462	2
69	 171	60549120	-0.2284	1
70	 155	1.59	-0.848	-7
70	 157	38.6	-0.6398	-7
70	 158	-1	0	#VALUE!
70	 159	94.8	-0.3688	-5
70	 160	-1	1.91	#VALUE!
70	 161	252	-0.3278	-3
70	 162	-1	0	-4064
70	 163	660	-0.3748	-3
70	 165	594	0.4788	-5
70	 167	1050	0.6238	-5
70	 169	2764800	-0.6358	7
70	 170	1.57E-09	0.6748	4
70	 171	0	0.493671	-1
70	 172	1.22E-10	0	8
70	 173	0	-0.6483	-5
70	 174	1.79E-09	0.6768	4
70	 175	361152	0.7688	-7
70	  176	1.8E-09	0.683	4
71	 169	122760	2.29713	7
71	 171	711936	2.30512	7
71	 172	578880	2.89315	-8
71	 173	43204320	2.28012	7
71	 174	104068800	1.93	-2
71	 175	0	2.232311	7
71	 176	1.1353E+18	3.1695	-14
71	 177	579744	2.23911	7
72	 165	#VALUE!	0	#VALUE!
72	 166	#VALUE!	0	#VALUE!
72	 168	#VALUE!	0	#VALUE!
72	 172	#VALUE!	0	#VALUE!
72	 173	1.95E-08	6.62	-23
72	 174	0.000000138	5.425	12
72	 175	6048000	-0.623	-5
72	 176	1.47E-09	0.636	4
72	 177	0	0.79356	-7
72	 178	1.47E-09	0.483	4
72	 179	0	-0.640913	9
72	 180	1.53E-09	0.613	4
73	 171	0.000000045	0	-9
73	 173	11304	1.703	-5
73	 175	37800	2.275	7
73	 177	203760	2.255	7
73	 178	558	2.74012	2
73	 179	57395520	2.2899	7
73	 180	3.78432E+22	4.82511	-18
73	 181	0	2.37057	7
73	 182	9936000	3.023	-6
73	 183	440640	0	7
74	178	0.000213	0.501	4
74	179	0.00000075	0	-35
74	180	1.22E-09	0.513	4
74	182	1.37	0.522	4
74	183	0	0.117784769	-1
74	184	1.25E-09	0.57814	4
74	186	1.05E-09	0.623	4
74	187	86040	0.62115	-3
75	 179	1182	2.84	5
75	 180	144	1.62	-2
75	 181	71640	3.197	5
75	 182	230400	2.846	14
75	 183	6048000	3.16815	5
75	 184	3283200	0	-6
75	 185	0	3.18713	5
75	 186	326160	1.7396	-2
75	 187	1.26144E+18	3.21973	5
75	 188	60840	1.7885	-2
76	 182	0.00000015	10.62	50
76	 183	46800	0	9
76	 184	1.18E-09	0	4
76	 186	0.00083	0.562	4
76	 187	0	0.064651896	-1
76	 188	0.00071	0.582	4
76	 189	0	0.6599334	-3
76	 190	0.000366	0.702	4
76	 191	1330560	0.963	-9
76	 192	0.000289	0.792	4
76	 193	109800	0.7302	-3
77	 180	90	0	#VALUE!
77	 182	900	0	#VALUE!
77	 183	3300	0	#VALUE!
77	 184	11304	0.6965	-10
77	 185	51840	2.60513	-5
77	 186	59904	3.885	10
77	 187	37800	0	3
77	 188	145800	0.3021	-2
77	 189	1131840	0	3
77	 190	1019520	0.041	8
77	 191	0	0.15076	3
77	 192	6410880	1.9241	-8
77	 193	0	0.16376	3
77	 194	69840	0.391	-2
78	 183	390	0.513	-1
78	 184	0.000376	0.566	4
78	 185	4254	0.77414	9
78	 186	0.00026	0.546	4
78	 187	8460	0.4088	-3
78	 188	0.000064	0.588	4
78	 189	39240	-0.4215	-3
78	 190	0.00006	0.573	4
78	 191	250560	-0.5015	-3
78	 192	0.0000437	0.573	4
78	 193	1576800000	0.6038	-1
78	 194	0.0000418	0.603	4
78	 195	0	0.609526	-1
78	 196	0.000034	0.595	4
78	 197	65880	0.512	-1
78	 198	0.0000223	0.632	4
79	 182	21	0	#VALUE!
79	 183	42	1.972	-5
79	 184	21	2.072	10
79	 185	252	2.172	-5
79	 186	642	-1.283	-6
79	 187	504	0.53515	1
79	 188	528	-0.073	-2
79	 189	1722	0.49414	1
79	 190	2568	-0.0657	-2
79	 191	11448	0.13699	3
79	 192	18000	-0.010715	-2
79	 193	63540	0.13966	3
79	 194	142200	0.076313	-2
79	 195	15811200	0.14876	3
79	 196	533952	0.58015	-4
79	 197	0	0.1457469	3
